Day 1,BREAK,PYTHON-MR,"PROJ(VRE)
(908)",ELE-OOAD-MRS/IOT-RS,LUNCH,"PROJ(BN)
(708)",OOAD-MRS/IOT-RS,BREAK,"PROJ(PV)
(708)"
Day 2,BREAK,PYTHON-MR,"OOAD LAB /IOT LAB
402/403","OOAD LAB /IOT LAB
402/403",LUNCH,"PROJ(BN)
(708)",LIB,BREAK,PROJ(GY)
Day 3,BREAK,OOAD-MRS/IOT-RS,PROJ(VRE)-402,BREAK,LUNCH,PYTHON-MR,PROJ(AE),Python (MR)- 708,Python (MR) / NN- 708
Day 4,BREAK,LIB,OOAD/IOT-402/403,OOAD/IOT-402/403,LUNCH,"PROJ(AE)
(908)",PROJ(VRE),BREAK,"PYTHON-MR
(708)"
Day 5,BREAK,OOAD-MRS/IOT-RS,"Python LAB (MR)
708","Python LAB (MR)
708",LUNCH,"PROJ(GY)
(403)","PROJ
(BN)
(708)",BREAK,"PROJ(PV)
(402)"
