Day 1,BREAK,AI(SB),BMPL (NA),ELE2/MDS/DMA/TSA (MR/AN/BE/AE),AI LAB PLY1(SB),LUNCH,BREAK,DVC(RT),DVC(RT)
Day 2,BREAK,"BMPL LAB (AE)
PLY 2","BMPL LAB (AE)
PLY 2",CDC,LUNCH,ELE2/MDS/DMA/TSA(MR/AN/BE/AE),DVC(RT),BREAK,ELEC1/MLMM/NLP/ (VRE/RT/MP/AN)
Day 3,BREAK,ELE2/MDS/DMA/ TSA (MR/AN/BE/AE),"BMPL LAB (NA)
PLY 3","BMPL LAB (NA)
PLY 3",LUNCH,"DVC LAB (RT)
PLY 2",BREAK,"AI LAB (SH) 
PLY2 ",ELEC1/MLMM/NLP/ (VRE/RT/MP/AN)
Day 4,BREAK,ELEC1/MLMM/ NLP/ (VRE/Sk/MP/AN),ELE2/MDS/DMA/ TSA (MR/AN/BE/AE),AI(SB),LUNCH,"DVC LAB (RT)
PLY 3","AI LAB (SB) 
PLY3",BREAK,BMPL(NA)
Day 5,BREAK,"DVC LAB (RT)
PLY 1","DVC LAB (RT)
PLY 1",BMPL(NA),LUNCH,"AI LAB (SB) 
PLY3",AI(SB),ELEC1/MLMM/NLP/(VRE/RT/MP/AN),BREAK
