Day 1,BREAK,AL LAB PLY3(RK),AL LAB PLY3(RK),ELE2/MDS/DMA/TSA (MR/AN/BE/AE),LUNCH,"DVC LAB
PLY 2
NA","DVC LAB
PLY 2
NA",BREAK,BMPL(JB)
Day 2,BREAK,AI(RK),AI(RK),DVC(NA),LUNCH,ELE2/MDS/DMA/ TSA (MR/AN/ BE/AE),DVC(NA),BREAK,ELEC1/MLMM/NLP/ (VRE/RT/ MP/AN)
Day 3,BREAK,ELE2/MDS/DMA/TSA (MR/AN/BE/AE),CDC     Room 423,BMPL(JB)  -  423,LUNCH,"BMPL LAB (JB)
PLY 3",BMPL(JB)-226,BREAK,ELEC1/MLMM/NLP/ (VRE/RT/ MP/AN)
Day 4,BREAK,ELEC1/MLMM/NLP/ (VRE/Sk/MP/AN),ELE2/MDS/DMA/TSA(MR/AN/BE/AE),DVC(NA)-    226,LUNCH,"DVC LAB (NA)
PLY 1","DVC LAB (NA)
PLY 1",BREAK,"BMPL LAB (JB)
PLY 3"
Day 5,BREAK,AL LAB PLY3(RK),AL LAB PLY3(RK),AI(RK),LUNCH,"BMPL LAB
PLY 2
JB","BMPL LAB
PLY 2
JB",ELEC1/MLMM/NLP/(VRE/RT/MP/AN),BREAK
