DAY ORDER,8.30 AM To 9.20 AM,9.20 AM To 10.10 AM,10.10 AM To 11.00 AM,11.00 AM To 11.50 AM,11.50 AM To 12.40 PM,12.40 PM To 1.30 PM,1.30 PM To 2.15 PM,2.15 PM To 3.00 PM,3.00 PM To 3. 45 PM
Day 1,DLE-SL,ICV-SAR,BREAK,"DLE LAB
PLY 2 SL","DLE LAB
PLY 2 SL",LUNCH,ICV-VRE,WBD-JK,BREAK
Day 2,ICV-VRE,Lib,BREAK,DSE-BE,LIB,LUNCH,ICV (VRE)  PLY 3 LAB,ICV (VRE)  PLY 3 LAB,BREAK
Day 3,CDC,CDC,DLE-SL,BREAK,WBD-JK,LUNCH,"WBD LAB (JK)
PLY 3 LAB","WBD LAB (JK)
PLY 3 LAB",BREAK
Day 4,DSE-BE,WBD-JK,BREAK,Lib,DSE-BE,LUNCH,DLE-SL,DLE-SL,BREAK
Day 5,ICV-SAR,WBD-JK,BREAK,DSE LAB (BE) PLY3,DSE LAB (BE) PLY3,LUNCH,DSE-BE,LIB,BREAK
