DAY ORDER,8.30 AM To 9.20 AM,9.20 AM To 10.10 AM,10.10 AM To 11.00 AM,11.00 AM To 11.50 AM,11.50 AM To 12.40 PM,12.40 PM To 1.30 PM,1.30 PM To 2.15 PM,2.15 PM To 3.00 PM,3.00 PM To 3. 45 PM
Day 1,BREAK,"DA Using R (AS)/
MM (LS)/ 
AI(KS)
402,708,403","DA Using R (AS)/
MM (LS)/ 
AI(KS)
402,708,403",Maths,LUNCH,CDC,CDC,BREAK,"Data Analystics Using R (AS)/
MULTIMEDIA (LS)/ 
AI(KS)"
Day 2,BREAK,"DB (KK) 
(807)",Maths,DB (KK),LUNCH,"VB.Net  LAB (AT)
403",VB.NET (AT) 607,BREAK,VB.NET (AT)
Day 3,BREAK,"VB.NET LAB (AT)
403 ","VB.NET LAB (AT)
403 ",Maths,LUNCH,"DA Using R (AS)/
MM (LS)/
 AI(KS)
402,708,403","DA Using R (AS)/
MM (LS)/
 AI(KS)
402,708,403","Data Base LAB (KK)
908",BREAK
Day 4,BREAK,"DA Using R (AS)- 607/
MM (LS)- 606/ 
AI(KS) 603",Maths,"DB (KK)
607",LUNCH,"VB.NET LAB (AT)
403",DA Using R (AS)/MM (LS)/ AI(KS),"Data Base LAB (KK)
908",BREAK
Day 5,BREAK,"Data Base LAB (KK)
908",VB.NET (AT),DB (KK) 606,LUNCH,DA Using R (AS)/MM (LS)/ AI(KS),VB.NET (AT),BREAK,"Data Base LAB (KK)
403/ NN"
