DAY ORDER,8.30 AM To 9.20 AM,9.20 AM To 10.10 AM,10.10 AM To 11.00 AM,11.00 AM To 11.50 AM,11.50 AM To 12.40 PM,12.40 PM To 1.30 PM,1.30 PM To 2.15 PM,2.15 PM To 3.00 PM,3.00 PM To 3. 45 PM
Day 1,LIB,CN(BN),BREAK,PYTHON(DH),LIB,LUNCH,R(AN)- LAB 908,Maths,BREAK
Day 2,CDC,CN(BN),BREAK,Maths,CDC,LUNCH,ANDROID/C#/ST,"ANDROID/C#/ST
SAR,PC,BE,RS,RK,MRS,BN
708,403,402",BREAK
Day 3,R(AN) - LAB 708,Maths,BREAK,ANDROID/C#/ST,CN(BN),LUNCH,CN- (BN) LAB-908,PYTHON(DH),BREAK
Day 4,PYTHON-403(DH),PYTHON-403(DH),BREAK,CDC,LIB,LUNCH,ANDROID/C#/ST,"ANDROID/C#/ST SAR,PC,DH,RS,RK,MRS,BN
708,403,402",BREAK
Day 5,CN LAB(BN) 708,Maths,BREAK,"PYTHON
(DH)",LIB,LUNCH,LIB,LIB,BREAK
