DAY ORDER,8.30 AM To 9.20 AM,9.20 AM To 10.10 AM,10.10 AM To 11.00 AM,11.00 AM To 11.50 AM,11.50 AM To 12.40 PM,12.40 PM To 1.30 PM,1.30 PM To 2.15 PM,2.15 PM To 3.00 PM,3.00 PM To 3. 45 PM
Day 1,BREAK,PROJ(SA),PYTHON-KK,ELE-OOAD-MRS/IOT-RS,LUNCH,PYTHON-KK,OOAD-MRS/IOT-RS,BREAK,"PROJ(MRS)
(403)"
Day 2,BREAK,PROJ(NA),OOAD/IOT-402/403-RS,OOAD/IOT-402/403-RS,LUNCH,"PROJ(LS)
(908)",BREAK,Python (KK)- 908,Python (KK)- 908
Day 3,BREAK,OOAD-MRS/IOT-RS,PYTHON-KK,PYTHON-KK,LUNCH,"PROJ(SB)
(908)",PROJ(MRS),BREAK,"PROJ(BE)
(403)"
Day 4,BREAK,LIB,OOAD/IOT-402/403-LS,OOAD/IOT-402/403-LS,LUNCH,Python (KK)- 708,PROJ(NN),BREAK,"PROJ(LS)
(908)"
Day 5,BREAK,OOAD-MRS/IOT-RS,LIB,"PROJ(LS)
(908)",LUNCH,Python (KK)- 708,PROJ(MRS),BREAK,PROJ(BN)
