DAY ORDER,8.30 AM To 9.20 AM,9.20 AM To 10.10 AM,10.10 AM To 11.00 AM,11.00 AM To 11.50 AM,11.50 AM To 12.40 PM,12.40 PM To 1.30 PM,1.30 PM To 2.15 PM,2.15 PM To 3.00 PM,3.00 PM To 3. 45 PM
Day 1,"CN LAB(JVS)
402",CN(JVS),BREAK,"PYTHON LAB (RJ) 
402","PYTHON LAB (RJ) 
402",LUNCH,LIB,CDC,BREAK
Day 2,LIB,CN (JVS),BREAK,Maths,"R (AN)
708 LAB",LUNCH,"ANDROID/C#/ST-
SAR,PC,BE,RS,RK,MRS,BN
708,403,402",ANDROID/C#/ST,BREAK
Day 3,LIB,CN(JVS),BREAK,ANDROID/C#/ST,Maths,LUNCH,"PYTHON 
(RJ)",LIB,BREAK
Day 4,Maths,CDC,BREAK,"PYTHON
(RJ)",LIB,LUNCH,"ANDROID/C#/ST 
SAR,PC,DH,RS,RK,MRS,BN
708,403,402",ANDROID/C#/ST,BREAK
Day 5,"R-(AN)
908",Maths,BREAK,LIB,"PYTHON
(RJ)",LUNCH,CDC,"CN LAB- (JVS)
708",BREAK
