DAY ORDER,8.30 AM To 9.20 AM,9.20 AM To 10.10 AM,10.10 AM To 11.00 AM,11.00 AM To 11.50 AM,11.50 AM To 12.40 PM,12.40 PM To 1.30 PM,1.30 PM To 2.15 PM,2.15 PM To 3.00 PM,3.00 PM To 3. 45 PM
Day 1,CN (RS)  LAB - 708,LIB,BREAK,Maths,CN(RS),LUNCH,PYTHON - 708 LAB(SL),PYTHON - 708 LAB(SL),BREAK
Day 2,R (AS)- LAB 908,CDC,BREAK,PYTHON(MN),Maths,LUNCH,ANDROID/C#/ST,"ANDROID/C#/
ST
SAR,PC,BE,RS,RK,MRS,BN
708,403,402",BREAK
Day 3,Maths,"PYTHON
(MN)",BREAK,ANDROID/C#/ST,LIB,LUNCH,LIB,R (AS)- LAB 403,BREAK
Day 4,LIB,CN (RS)- LAB  908,BREAK,CN(RS),CDC,LUNCH,ANDROID/C#/ST,"ANDROID/C#/
ST
SAR,PC,BE,RS,RK,MRS,BN
708,403,402",BREAK
Day 5,LIB,CDC,BREAK,CN(RS),PYTHON (MN),LUNCH,LIB,Maths,BREAK
