DAY ORDER,8.30 AM To 9.20 AM,9.20 AM To 10.10 AM,10.10 AM To 11.00 AM,11.00 AM To 11.50 AM,11.50 AM To 12.40 PM,12.40 PM To 1.30 PM,1.30 PM To 2.15 PM,2.15 PM To 3.00 PM,3.00 PM To 3. 45 PM
Day 1,BREAK,PROJ(SK),IA(SK),IOT(LS),LUNCH,"PROJ(DH)
(403)",BREAK,"IA LAB (SK)
PLY LAB 3 ","IA LAB (SK)
PLY LAB 3 "
Day 2,BREAK,SMT (SL),IOT(LS),"PROJ (MR)
(908)",LUNCH,LIB,IA(SK),BREAK,PROJ(DH)
Day 3,BREAK,IOT(LS),LIB,"IA- LAB (SK)
708 LAB","IA- LAB (SK)
708 LAB",LUNCH,SMT (SL),PROJ (SAR),BREAK
Day 4,BREAK,"PROJ (SAR)
(708)",SMT (SL),BREAK,"PROJ(MR)
(708)",LUNCH,IA(SK),IOT-LS,"PROJ(AN)
(402)"
Day 5,BREAK,SMT(SL),IA (SK),PROJ(AN),LUNCH,"PROJ(AN)
(402)",BREAK,PROJ(MR) LAB PLY1,PROJ(MR) LAB PLY1
