DAY ORDER,8.30 AM To 9.20 AM,9.20 AM To 10.10 AM,10.10 AM To 11.00 AM,11.00 AM To 11.50 AM,11.50 AM To 12.40 PM,12.40 PM To 1.30 PM,1.30 PM To 2.15 PM,2.15 PM To 3.00 PM,3.00 PM To 3. 45 PM
Day 1,LIB,"CN (DH)
LAB 908",BREAK,"PYTHON LAB (RK)
708","PYTHON LAB (RK)
708",LUNCH,Maths,"R LAB(AS)
908",BREAK
Day 2,LIB,"CN
(DH)",BREAK,CDC,Maths,LUNCH,"ANDROID/C#/ST
SAR,PC,BE,RS,RK,MRS,BN
708,403,402",ANDROID/C#/ST,BREAK
Day 3,LIB,"CN
(DH)",BREAK,ANDROID/C#/ST,CDC,LUNCH,"PYTHON
(RK)",LIB,BREAK
Day 4,LIB,"PYTHON
(RK)",BREAK,"CN LAB(DH)
708",Maths,LUNCH,"ANDROID/C#/ST
SAR,PC,DH,RS,RK,MRS,BN
708,403,402",ANDROID/C#/ST,BREAK
Day 5,LIB,"CN
(DH)",BREAK,Maths,CDC,LUNCH,"PYTHON
(RK)","R(AS) LAB
908",BREAK
