DAY ORDER,8.30 AM To 9.20 AM,9.20 AM To 10.10 AM,10.10 AM To 11.00 AM,11.00 AM To 11.50 AM,11.50 AM To 12.40 PM,12.40 PM To 1.30 PM,1.30 PM To 2.15 PM,2.15 PM To 3.00 PM,3.00 PM To 3. 45 PM
Day 1,EVS-JB,LANG -906,Maths,BREAK,"ICD

SK",LUNCH,CDC,CDC,BREAK
Day 2,Maths,LANG -906,BREAK,"ICD LAB
PLY 3
SK",ENG,LUNCH,"DS LAB
PLY2
JK","DS LAB
PLY2
JK",BREAK
Day 3,LANG -901,BREAK,DS-JK,DS-JK,Maths,LUNCH,"ICD
SK",ENG,BREAK
Day 4,EVS-JB,LANG -907,BREAK,"ICD
SK",ENG,LUNCH,Maths,DS-JK,BREAK
Day 5,LIB,EVS-JB,BREAK,"DS LAB (JK)
PLY2",ENG,LUNCH,"ICD LAB (SK)
PLY 3","ICD LAB (SK)
PLY 3",BREAK
